# Sip word list — adapted from the New General Service List (NGSL) and New Academic Word List (NAWL) by Browne, C., Culligan, B., & Phillips, J. — CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0/) — https://www.newgeneralservicelist.com — Sip's adaptation (level order, Korean meanings, examples) is shared under the same license.
level,day,word,pos,korean,example1,example2,source_list
3,4,same,adjective,같은,We work at the same place.,Do you have the same problem?,NGSL
3,4,lot,noun,많음,We have a lot of time.,Do you know a lot of people?,NGSL
3,4,great,adjective,아주 좋은,That is a great way to help.,Was it a great day for you?,NGSL
3,4,try,verb,시도하다,Let me try it one more time.,Did you try to call her?,NGSL
3,5,leave,verb,떠나다,We have to leave now.,When did she leave the company?,NGSL
3,5,number,noun,숫자,Write the number down here.,Which number do you like most?,NGSL
3,5,both,determiner,둘 다,Both of them like the place.,Can we do both things now?,NGSL
3,5,own,adjective,자신의,She has her own company.,Do you have your own place?,NGSL
3,5,part,noun,부분,This part is very good.,Which part do you like most?,NGSL
3,6,point,noun,요점,What is your point?,I see your point now.,NGSL
3,6,little,adjective,조그만,They live in a little house.,Look at that little child!,NGSL
3,6,help,verb,돕다,Can you help me with this?,She helped us a lot.,NGSL
3,6,ask,verb,물어보다,Can I ask you something?,He asked me about my work.,NGSL
3,6,meet,verb,만나다,Let's meet at the same place.,Have you met him before?,NGSL
3,7,start,verb,시작하다,When does the work start?,We can start now.,NGSL
3,7,talk,verb,이야기하다,Can we talk about it now?,They talked for a long time.,NGSL
3,7,something,pronoun,무언가,I want to tell you something.,Something is not right here.,NGSL
3,7,put,verb,놓다,Put the things over there.,Where did you put it?,NGSL
3,7,another,determiner,또 다른,Can I have another one?,She works at another company now.,NGSL
4,1,become,verb,~이 되다,He wants to become a good man.,How did you become so good?,NGSL
4,1,interest,noun,관심,She has a great interest in books.,Do you have any interest in this?,NGSL
4,1,country,noun,나라,This country has many old houses.,Which country do you come from?,NGSL
4,1,old,adjective,오래된,This is a very old house.,Is your school old or new?,NGSL
4,1,each,determiner,각각의,Each child gets a new book.,Does each family have a house?,NGSL
4,2,school,noun,학교,My child goes to school each day.,Where is your school?,NGSL
4,2,late,adjective,늦은,I was late for school again.,Is it too late to call?,NGSL
4,2,high,adjective,높은,This is a very high place.,Is the number too high?,NGSL
4,2,different,adjective,다른,We live in different countries.,Why is this book so different?,NGSL
4,2,off,adverb,떨어져,The book fell off the table.,"Can you take that off, please?",NGSL
4,3,next,adjective,다음의,See you next week!,What is the next problem?,NGSL
4,3,end,noun,끝,This is the end of the book.,Is it the end of the day?,NGSL
4,3,live,verb,살다,Where do you live now?,They live in an old house.,NGSL
4,3,why,adverb,왜,Why are you so late?,I know why she left.,NGSL
4,3,while,conjunction,~하는 동안,Call me while you are home.,I read while the children play.,NGSL
4,4,world,noun,세상,People all over the world like this.,Do you want to see the world?,NGSL
4,4,week,noun,일주일,This week was very long.,Can we meet next week?,NGSL
4,4,play,verb,놀다,The children play at home.,Do you want to play with us?,NGSL
4,4,home,noun,집,I want to go home now.,Is he at home right now?,NGSL
4,4,never,adverb,절대 ~않다,I have never been there.,She never comes home late.,NGSL
4,5,include,verb,포함하다,Does this include the last part?,The group includes people from many countries.,NGSL
4,5,course,noun,강좌,I take a new course each year.,Is this course good for children?,NGSL
4,5,house,noun,주택,The house is old but very nice.,Is this your new house?,NGSL
4,5,report,noun,보고서,I need to write a report.,Did you see the new report?,NGSL
4,5,group,noun,집단,A group of children came in.,Are you in this group too?,NGSL
4,6,case,noun,경우,"In that case, we can go now.",That was a different case.,NGSL
4,6,woman,noun,여자,The woman next to me was kind.,Do you know that woman?,NGSL
4,6,around,preposition,~주위에,Many people live around the school.,Is there a school around here?,NGSL
4,6,book,noun,책,This book is about my country.,Which book do you like most?,NGSL
4,6,family,noun,가족,My family lives in an old house.,How many people are in your family?,NGSL
4,7,seem,verb,~처럼 보이다,She seems like a kind woman.,Does this seem right to you?,NGSL
4,7,let,verb,~하게 하다,Let me help you with that.,Will you let the children play?,NGSL
4,7,again,adverb,다시,Can you say that again?,We met again after many years.,NGSL
4,7,kind,noun,종류,What kind of book is this?,I like this kind of place.,NGSL
4,7,keep,verb,계속하다,Please keep working on this.,Why do you keep asking me that?,NGSL
5,1,hear,verb,듣다,Did you hear what she said?,I can hear people talking now.,NGSL
5,1,system,noun,시스템,The new system works well.,Do you know how this system works?,NGSL
5,1,every,determiner,모든,I go to school every day.,Every child needs a good home.,NGSL
5,1,question,noun,질문,Can I ask you a question?,That is a good question.,NGSL
5,1,during,preposition,~동안,Do not talk during the show.,What did you do during the week?,NGSL
5,2,always,adverb,항상,She always comes home late.,Why do you always ask that?,NGSL
5,2,big,adjective,큰,They live in a big house.,How big is your school?,NGSL
5,2,set,verb,정하다,Let's set a time to meet.,Have you set a time to start?,NGSL
5,2,small,adjective,작은,I live in a small house.,That is a very small problem.,NGSL
5,2,study,verb,공부하다,I study every day after school.,What do you want to study?,NGSL
5,3,follow,verb,따라가다,Please follow me this way.,Why did he follow you home?,NGSL
5,3,begin,verb,시작하다,When does the show begin?,Let's begin our work now.,NGSL
5,3,important,adjective,중요한,This is a very important question.,Why is family so important to you?,NGSL
5,3,since,preposition,~이후로,I have lived here since last year.,She has not called since last week.,NGSL
5,3,run,verb,달리다,I run every day before work.,Did you run to school today?,NGSL
5,4,under,preposition,~아래에,She put the money under the book.,What is under this book?,NGSL
5,4,turn,verb,돌다,Turn right at the school.,She turned and looked at me.,NGSL
5,4,few,determiner,몇몇의,I have a few good friends.,Only a few people came today.,NGSL
5,4,bring,verb,가져오다,Please bring your book to school.,Did you bring any money?,NGSL
5,4,early,adverb,일찍,I get up early every day.,Why did you come home so early?,NGSL
5,5,hand,noun,손,Please give me your hand.,What is in your hand?,NGSL
5,5,state,noun,상태,The house is in a good state.,What state is the company in?,NGSL
5,5,move,verb,움직이다,Can you move your hand a little?,Do not move until I say so.,NGSL
5,5,money,noun,돈,I need money for a new book.,How much money do you have?,NGSL
5,5,fact,noun,사실,Tell me the facts about this case.,It is a fact that people change.,NGSL
5,6,however,adverb,하지만,"However, we still need more time.","The work, however, was not done.",NGSL
5,6,area,noun,지역,Do you live in this area?,This area has many good schools.,NGSL
5,6,provide,verb,제공하다,The school provides books for children.,Can you provide more help this week?,NGSL
5,6,name,noun,이름,What is your name?,Please write your name here.,NGSL
5,6,read,verb,읽다,I read a good book last week.,Can you read this for me?,NGSL
5,7,friend,noun,친구,She is a very good friend.,How many friends do you have?,NGSL
5,7,month,noun,달,I start my new work next month.,Which month do you like most?,NGSL
5,7,large,adjective,커다란,They have a large family.,How large is this area?,NGSL
5,7,business,noun,사업,My friend started a new business.,Is the business doing well this year?,NGSL
5,7,without,preposition,~없이,I cannot live without my friends.,Did you leave without your money?,NGSL
6,1,information,noun,정보,I need more information about the school.,Where can I find this information?,NGSL
6,1,open,verb,열다,I opened the book and began to read.,What time does the market open?,NGSL
6,1,order,noun,순서,Put these words in the right order.,Is this the right order?,NGSL
6,1,government,noun,정부,The government runs the schools here.,What does the government do for people?,NGSL
6,1,word,noun,단어,What does this word mean?,I study new words every day.,NGSL
6,2,issue,noun,쟁점,This is a big issue for us.,Did they talk about the money issue?,NGSL
6,2,market,noun,시장,We buy many things at the market.,Is the market open today?,NGSL
6,2,pay,verb,돈을 내다,I will pay for the book.,How much did you pay for it?,NGSL
6,2,build,verb,짓다,They want to build a new house.,Who built this school?,NGSL
6,2,hold,verb,잡고 있다,Hold my hand when we go out.,Can you hold this book for me?,NGSL
6,3,service,noun,서비스,The service at this place is great.,Do they have good service here?,NGSL
6,3,against,preposition,~에 반대하여,Many people are against the new plan.,Are you for or against it?,NGSL
6,3,believe,verb,믿다,I believe what she said.,Do you believe him?,NGSL
6,3,second,number,두 번째,This is my second time here.,He is the second child in his family.,NGSL
6,3,though,conjunction,~이지만,"Though it was late, we kept working.","I like this house, though it is small.",NGSL
6,4,yes,interjection,네,"Yes, I would love to come.",Did you say yes to him?,NGSL
6,4,love,verb,사랑하다,I love my family very much.,Do you love your new job?,NGSL
6,4,increase,verb,늘어나다,The number of children here has increased.,Did your pay increase this year?,NGSL
6,4,job,noun,직업,She found a new job last month.,Do you like your job?,NGSL
6,4,plan,noun,계획,What is your plan for today?,We made a plan for the week.,NGSL
6,5,result,noun,결과,We will know the result next week.,What was the result of the study?,NGSL
6,5,away,adverb,떨어져,The market is an hour away.,How far away is your house?,NGSL
6,5,example,noun,예시,Can you give me an example?,This is a good example of that.,NGSL
6,5,happen,verb,일어나다,What happened here today?,Good things happen every day.,NGSL
6,5,offer,verb,제의하다,He offered to help me.,Did they offer you the job?,NGSL
6,6,young,adjective,젊은,She is still very young.,Many young people live in this area.,NGSL
6,6,close,verb,닫다,Close the book and look at me.,What time does the school close?,NGSL
6,6,program,noun,프로그램,This program helps young people find jobs.,Which program do you like most?,NGSL
6,6,lead,verb,이끌다,She will lead the group this week.,Who leads the company now?,NGSL
6,6,buy,verb,사다,I want to buy a new book.,Where did you buy that?,NGSL
6,7,understand,verb,이해하다,I understand what you mean.,Do you understand this question?,NGSL
6,7,thank,verb,감사하다,Thank you for your help.,I thanked her for the book.,NGSL
6,7,far,adverb,멀리,How far is the school from here?,Do not go too far.,NGSL
6,7,today,adverb,오늘,I have a lot of work today.,What are you doing today?,NGSL
6,7,hour,noun,한 시간,I read for an hour every day.,How many hours do you work?,NGSL
7,1,student,noun,학생,She is a good student at school.,Are there many students in your school?,NGSL
7,1,face,noun,얼굴,He has a kind face.,Did you see her face today?,NGSL
7,1,hope,verb,희망하다,I hope you feel better today.,Do you hope to see him again?,NGSL
7,1,idea,noun,아이디어,That is a very good idea.,Do you have any new ideas?,NGSL
7,1,cost,noun,비용,The cost of the house is high.,What is the cost of this book?,NGSL
7,2,less,adverb,덜,I work less than last year.,Is this one less important?,NGSL
7,2,room,noun,방,My room is very small.,Is there a room for us?,NGSL
7,2,until,preposition,~까지,I will be here until next week.,Did you work until late last night?,NGSL
7,2,reason,noun,이유,What is the reason for this?,She gave me a good reason.,NGSL
7,2,form,noun,형태,Play is one form of learning.,Is this a new form of business?,NGSL
7,3,spend,verb,쓰다,I spend a lot of time here.,How much money did you spend?,NGSL
7,3,head,noun,머리,He turned his head to look.,Put your hand on your head.,NGSL
7,3,car,noun,자동차,My new car is very big.,Did you come by car today?,NGSL
7,3,learn,verb,배우다,I want to learn new words.,Where did you learn to do that?,NGSL
7,3,level,noun,수준,Her reading level is very high.,What level are you at now?,NGSL
7,4,person,noun,사람,She is a very kind person.,Who is that person over there?,NGSL
7,4,experience,noun,경험,He has a lot of work experience.,Was it a good experience for you?,NGSL
7,4,once,adverb,한 번,I met her only once.,We play here once a week.,NGSL
7,4,member,noun,회원,She is a member of our group.,Are you a member here?,NGSL
7,4,enough,determiner,충분한,Do we have enough time today?,There is enough money for all of us.,NGSL
7,5,bad,adjective,나쁜,That was a bad idea.,Why do you feel so bad?,NGSL
7,5,city,noun,도시,This city is very big.,Do you live in the city?,NGSL
7,5,night,noun,밤,We talked late into the night.,Did you work last night?,NGSL
7,5,able,adjective,~할 수 있는,She is able to help you.,Are you able to come today?,NGSL
7,5,support,verb,지지하다,We all support your new plan.,Will you support me on this?,NGSL
7,6,whether,conjunction,~인지 아닌지,I do not know whether he will come.,Ask her whether she wants to go.,NGSL
7,6,line,noun,줄,Write your name on this line.,Is there a long line today?,NGSL
7,6,present,adjective,현재의,What is your present job?,The present system works well.,NGSL
7,6,side,noun,쪽,Which side of the room is yours?,The car is on the other side.,NGSL
7,6,quite,adverb,상당히,It is quite late now.,Are you quite sure about that?,NGSL
7,7,although,conjunction,~이지만,"Although it was late, we kept working.","She came, although she was not well.",NGSL
7,7,sure,adjective,확신하는,I am sure he will come.,Are you sure about this?,NGSL
7,7,term,noun,용어,What does this term mean?,This term is used in business.,NGSL
7,7,least,adverb,가장 적게,This is the least important part.,Who works the least in your group?,NGSL
7,7,age,noun,나이,What is your age?,People of all ages can play.,NGSL
8,1,low,adjective,낮은,The price is very low today.,Is the cost still low this year?,NGSL
8,1,speak,verb,말하다,I want to speak to you after school.,Do you speak to your parents every day?,NGSL
8,1,within,preposition,~이내에,The work will end within a week.,Can you come back within an hour?,NGSL
8,1,process,noun,과정,This process takes about one hour.,Is the process hard for new students?,NGSL
8,1,public,adjective,공공의,There is a public meeting at school today.,Is this a public place or not?,NGSL
8,2,often,adverb,자주,I often meet my friends after work.,How often do you read books?,NGSL
8,2,train,noun,기차,We took the train to the city.,Does this train go to your school?,NGSL
8,2,possible,adjective,가능한,Is it possible to meet today?,Come home as early as possible.,NGSL
8,2,actually,adverb,사실은,"Actually, I do not like this book.",Did she actually say that to you?,NGSL
8,2,rather,adverb,차라리,I would rather go home now.,Would you rather read or play?,NGSL
8,3,view,noun,경치,The view from my room is great.,Do you like the view from here?,NGSL
8,3,together,adverb,함께,We went to school together every day.,Can we work on this together?,NGSL
8,3,consider,verb,고려하다,I will consider your idea this week.,Did you consider buying a new car?,NGSL
8,3,price,noun,가격,The price of this book is low.,What is the price of that car?,NGSL
8,3,parent,noun,부모,My parents live in a small city.,Do your parents work every day?,NGSL
8,4,hard,adjective,힘든,This question is very hard for me.,Is it hard to find a good job?,NGSL
8,4,party,noun,파티,We had a big party at home.,Are you coming to my party?,NGSL
8,4,local,adjective,지역의,We often go to the local market.,Do you know any local people here?,NGSL
8,4,control,noun,통제,The car went out of control.,Who has control over the money?,NGSL
8,4,already,adverb,이미,I have already read this book.,Is she already at home?,NGSL
8,5,concern,noun,걱정,My biggest concern is the price.,Do you have any concerns about the plan?,NGSL
8,5,product,noun,제품,This new product is very good.,Which product do you like most?,NGSL
8,5,lose,verb,잃어버리다,I always lose my keys.,Did she lose her book at school?,NGSL
8,5,story,noun,이야기,She told us a great story.,Do you know any good stories?,NGSL
8,5,almost,adverb,거의,It is almost time to go home.,Almost every student has a book.,NGSL
8,6,continue,verb,계속하다,We will continue this work next week.,Will you continue to study here next year?,NGSL
8,6,stand,verb,서다,Stand up and look at me.,Why is he standing by the car?,NGSL
8,6,whole,adjective,전체의,I read the whole book last night.,Did you spend the whole day at home?,NGSL
8,6,yet,adverb,아직,I have not seen it yet.,Has the train come yet?,NGSL
8,6,rate,noun,비율,The pass rate for the test was high.,Is the interest rate low this year?,NGSL
8,7,care,noun,돌봄,Children need a lot of care.,Who takes care of the old man?,NGSL
8,7,expect,verb,기대하다,I expect you to come early.,Do you expect a good result?,NGSL
8,7,effect,noun,효과,The new plan had a good effect.,What effect did the change have?,NGSL
8,7,sort,noun,종류,What sort of book do you like?,I like all sorts of music.,NGSL
8,7,ever,adverb,한 번이라도,Have you ever been to that city?,Do you ever think about your old school?,NGSL
9,1,anything,pronoun,무엇이든,Do you need anything from the store?,I can help with anything you need.,NGSL
9,1,cause,verb,일으키다,Too much work can cause problems.,What caused the change in price?,NGSL
9,1,fall,verb,떨어지다,Prices fall at the end of the year.,Did the child fall down again?,NGSL
9,1,deal,noun,거래,We got a good deal on the car.,Did both sides agree to the deal?,NGSL
9,1,water,noun,물,I need some water after the run.,The children play in the water.,NGSL
9,2,send,verb,보내다,Can you send me the report today?,Did she send the money last week?,NGSL
9,2,allow,verb,허락하다,My parents allow me to play late.,Does the school allow this?,NGSL
9,2,soon,adverb,곧,The train will come soon.,How soon can you get here?,NGSL
9,2,watch,verb,지켜보다,We watch the children play every day.,Did you watch the show last night?,NGSL
9,2,base,noun,기초,The base of the house is very old.,Does this box have a flat base?,NGSL
9,3,probably,adverb,아마,She will probably come late.,He is probably at work now.,NGSL
9,3,suggest,verb,제안하다,I suggest we start the work early.,What do you suggest for the party?,NGSL
9,3,past,adjective,과거의,The past year was hard for us.,Have you read the past reports?,NGSL
9,3,power,noun,힘,The government has a lot of power.,Does the car have enough power?,NGSL
9,3,test,noun,시험,I have a big test next week.,Did you study for the test?,NGSL
9,4,visit,verb,방문하다,We visit my parents every month.,Did you visit the old city?,NGSL
9,4,center,noun,중심,The school is in the city center.,What is in the center of the room?,NGSL
9,4,grow,verb,자라다,The children grow bigger every year.,How much did the city grow last year?,NGSL
9,4,nothing,pronoun,아무것도,There is nothing in the room.,Why did you say nothing at the meeting?,NGSL
9,4,return,verb,돌아오다,She will return home next week.,When did they return from the city?,NGSL
9,5,mother,noun,어머니,My mother reads a book every night.,Is your mother at home now?,NGSL
9,5,walk,verb,걷다,I walk to school every day.,Can we walk to the house?,NGSL
9,5,matter,verb,중요하다,Does the price really matter to you?,Your ideas matter to the group.,NGSL
9,5,mind,noun,마음,Keep this idea in mind.,What is on your mind today?,NGSL
9,5,value,noun,가치,The value of the house went up.,What is the value of this car?,NGSL
9,6,office,noun,사무실,I go to the office by train.,Is your office far from home?,NGSL
9,6,record,noun,기록,Keep a record of the cost.,Do you have a record of the call?,NGSL
9,6,stay,verb,머무르다,We will stay at home this week.,How long did you stay there?,NGSL
9,6,force,verb,강요하다,No one can force you to go.,Did they force him to leave early?,NGSL
9,6,stop,verb,멈추다,Can you stop the car here?,Why did the train stop?,NGSL
9,7,several,determiner,몇몇,I read several books last month.,Did several people call today?,NGSL
9,7,light,noun,빛,The room needs more light.,Is there enough light to read?,NGSL
9,7,develop,verb,개발하다,The company will develop a new car.,How did they develop this program?,NGSL
9,7,remember,verb,기억하다,I remember my first day at school.,Do you remember her name?,NGSL
9,7,bit,noun,조금,I am a bit late today.,Can you give me a bit more time?,NGSL
10,1,share,verb,함께 나누다,We share the food with our friends.,Can you share your book with me?,NGSL
10,1,real,adjective,진짜의,This is a real problem for us.,Is this a real story?,NGSL
10,1,answer,noun,대답,Do you know the answer to this question?,I need your answer today.,NGSL
10,1,sit,verb,앉다,Please sit here next to me.,We sat in the car for an hour.,NGSL
10,1,figure,noun,수치,These figures show a big change.,Look at the figures from last month.,NGSL
10,2,letter,noun,편지,I got a long letter from my friend.,Did you write a letter to your mother?,NGSL
10,2,decide,verb,결정하다,We decided to stay home today.,Did you decide where to go?,NGSL
10,2,language,noun,언어,How many languages can you speak?,Learning a new language takes time.,NGSL
10,2,subject,noun,주제,Let's talk about a different subject.,What is the subject of this book?,NGSL
10,2,class,noun,수업,We have an early class today.,How many students are in your class?,NGSL
10,3,development,noun,발전,The town has seen a lot of development.,Reading helps the development of young children.,NGSL
10,3,town,noun,작은 도시,I grew up in a small town.,The town has a new school.,NGSL
10,3,half,noun,절반,I spent half of my money.,Half of the students were late.,NGSL
10,3,minute,noun,분,Please give me a minute.,It only takes a few minutes.,NGSL
10,3,food,noun,음식,The food at this place is great.,What food do you like most?,NGSL
10,4,break,verb,깨뜨리다,Did you break this?,Children often break things when they play.,NGSL
10,4,clear,adjective,분명한,His answer was very clear.,Is the plan clear to you?,NGSL
10,4,future,noun,미래,What do you want in the future?,We must plan for the future now.,NGSL
10,4,either,conjunction,둘 중 하나,You can either walk or take the car.,Either you or I must go first.,NGSL
10,4,ago,adverb,~전에,I met her a year ago.,How long ago did you move here?,NGSL
10,5,remain,verb,남아 있다,Only a few people remained in the room.,Please remain here until I come back.,NGSL
10,5,top,noun,맨 위,Put your name at the top.,Can you see the top of the house?,NGSL
10,5,among,preposition,~가운데,She sat among her friends.,He is the oldest among the students.,NGSL
10,5,win,verb,이기다,Who will win this time?,I hope we win today.,NGSL
10,5,color,noun,색깔,What color is your new car?,I like the color of this room.,NGSL
10,6,involve,verb,수반하다,The job involves a lot of walking.,Does the plan involve many people?,NGSL
10,6,reach,verb,~에 이르다,We reached the town before night.,The letter reached me a week later.,NGSL
10,6,social,adjective,사회적인,This is a social problem for the city.,Social change takes a long time.,NGSL
10,6,period,noun,기간,It was a hard period for my family.,We lived there for a long period.,NGSL
10,6,across,preposition,~을 건너서,We walked across the town together.,Can you see the house across the water?,NGSL
10,7,note,noun,메모,I wrote a note to my mother.,Did you read the note from school?,NGSL
10,7,history,noun,역사,I love reading about world history.,This old house has a long history.,NGSL
10,7,create,verb,만들어 내다,The company created many new jobs.,Can we create something new together?,NGSL
10,7,drive,verb,운전하다,Can you drive me to school today?,My mother drives to work every day.,NGSL
10,7,along,preposition,~을 따라,We walked along the water for an hour.,There are many small houses along the street.,NGSL
11,1,type,noun,유형,What type of car do you want?,This type of food is very good.,NGSL
11,1,sound,noun,소리,I heard a sound in the night.,What is that sound?,NGSL
11,1,eye,noun,눈,She has big eyes.,Close your eyes and think of home.,NGSL
11,1,music,noun,음악,I love this music very much.,Do you play music at home?,NGSL
11,1,game,noun,게임,Let's play a game after school.,Who won the game last night?,NGSL
11,2,political,adjective,정치적인,She studies political history at school.,Is this a political question?,NGSL
11,2,free,adjective,무료의,This book is free for students.,Is the water free here?,NGSL
11,2,receive,verb,받다,Did you receive my letter?,She received a book from her friend.,NGSL
11,2,moment,noun,순간,"Just a moment, please.","At that moment, she began to talk.",NGSL
11,2,sale,noun,판매,The house is for sale now.,Book sales were high last year.,NGSL
11,3,policy,noun,정책,The school has a new policy.,What is the company policy on this?,NGSL
11,3,further,adverb,더 멀리,Can you walk a little further?,The school is further than I thought.,NGSL
11,3,body,noun,몸,Water is good for your body.,Does your body feel better today?,NGSL
11,3,require,verb,필요로 하다,This job requires a lot of time.,Does the job require a car?,NGSL
11,3,wait,verb,기다리다,Wait here for a moment.,How long did you wait for the train?,NGSL
11,4,general,adjective,일반적인,It is only a general idea.,Do you have any general questions?,NGSL
11,4,appear,verb,나타나다,A light appeared in the night.,When did the problem first appear?,NGSL
11,4,toward,preposition,~쪽으로,She walked toward the water.,Why is he running toward us?,NGSL
